alpha,cl,cdp,cm4c,cl_design,cdp_design,cm4c_design
0.0,-0.15336005379738035,-0.040079653616427194,0.03654391999356083,0.2442,0.00122,-0.0525
0.03490658503988659,-0.10988227588922077,-0.04991233329768936,0.03281756278039512,0.4549,0.00168,-0.0482
0.06981317007977318,-0.06593598584187171,-0.05831960916643369,0.029093060912972327,0.7153,0.00236,-0.0566
0.10471975511965977,-0.021719197462670817,-0.06526373449216784,0.0253885597900047,0.9016,0.00381,-0.0497
0.13962634015954636,0.02256766238759213,-0.07072399727490757,0.02172210736858847,1.0885,0.00642,-0.044
0.17453292519943295,0.06672360367682734,-0.0746968797112325,0.018111566236370266,1.2696,0.0097,-0.0378
