alpha,cl,cdp,cm4c,cl_design,cdp_design,cm4c_design
0.0,0.21601052061901638,-0.004150843309861485,-0.039574054944585504,0.2442,0.00122,-0.0525
0.03490658503988659,0.2674522858337736,-0.0022478629011525517,-0.043384646426270976,0.4549,0.00168,-0.0482
0.06981317007977318,0.3182040171209642,0.0015815871289975476,-0.04704834163182428,0.7153,0.00236,-0.0566
0.10471975511965977,0.36800479171499323,0.007284235138484731,-0.050547291406477145,0.9016,0.00381,-0.0497
0.13962634015954636,0.4166010167935792,0.014783983021216314,-0.05386444921864075,1.0885,0.00642,-0.044
0.17453292519943295,0.4637488520942551,0.023982756546174322,-0.0569836542088938,1.2696,0.0097,-0.0378
