alpha,cl,cdp,cm4c,cl_design,cdp_design,cm4c_design
0.0,0.11818154722283265,-0.02023091952703666,-0.02568251415123786,0.2442,0.00122,-0.0525
0.03490658503988659,0.17130576591955227,-0.01569225165941809,-0.02882328774464945,0.4549,0.00168,-0.0482
0.06981317007977318,0.2236804966546375,-0.00873979500015432,-0.031880688621376635,0.7153,0.00236,-0.0566
0.10471975511965977,0.2749945801303015,0.0005483349774474747,-0.03483982143167705,0.9016,0.00381,-0.0497
0.13962634015954636,0.32494678416872413,0.01206570367902305,-0.03768626957794967,1.0885,0.00642,-0.044
0.17453292519943295,0.3732487861161904,0.025678729200829378,-0.04040616545094988,1.2696,0.0097,-0.0378
